Shark Number,Date,Time,Species,Sex,Pre Caudal Length,Fork Length,Total Length,Pre Pectoral Girth,Post Pectoral Girth,Post First Dorsal Girth,Gill Slit Height,Gill Slit Height / Total Length,Snout to First Gill Slit,Snout to Gill Slit / Total Length,Pectoral 1 SA,Pectoral 2 SA,Pectoral SA Avg,Pec SA / Total Length,Pectoral 1 Height,Pectoral 2 Height,Pectoral Height Avg,Pec Height / Total Length,Pectoral Aspect Ratio TL (h^2/SA),Pectoral Aspect Ratio ,Caudal SA,Caudal SA / Total Length,Caudal Height,Caudal Height / Total Length,Caudal Aspect Ratio TL,Caudal Aspect Ratio 
1,6/28/2022,10:47,Mako,M,154,160,168,63.2,66,56.2,14.272,0.084952381,36.076,0.214738095,284.056,284.056,284.056,1.690809524,28.649,28.649,28.649,0.170529762,0.017199099,2.889448563,412.066,2.45277381,41.8,0.248809524,0.025239253,4.240194532
2,6/28/2022,12:27,Blue,M,175,208,224,82,87,75,6.538,0.0291875,41.691,0.186120536,589.314,363.113,476.2135,2.125953125,47.494,33.619,40.5565,0.181055804,0.015419533,3.453975354,455.359,2.032852679,36.687,0.16378125,0.013195397,2.955768897
37,7/20/2022,14:30,Blue,M,172,190,228,72,71.5,61.4,7.948,0.034859649,42.95,0.188377193,369.998,526.03,448.014,1.964973684,37.159,44.736,40.9475,0.179594298,0.016414526,3.742511967,704.784,3.091157895,56.615,0.248311404,0.01994675,4.547858954
38,7/23/2022,8:50,Sand Bar,M,152,169,200,75,82,70.2,8.57,0.04285,40.928,0.20464,463.466,463.466,463.466,2.31733,36.127,36.127,36.127,0.180635,0.01408043,2.816086032,489.261,2.446305,43.118,0.21559,0.018999695,3.799938936
39,7/23/2022,12:18,Blue,M,233,252.9,288,80,80.5,65.3,,0,,,,,,,,,,,,,,,,,,
40,8/15/2022,9:37,Smooth Dog,M,38,41.5,46.7,13.1,13.9,11,1.798,0.038501071,11.357,0.243190578,13.382,13.441,13.4115,0.287184154,5.11,5.06,5.085,0.10888651,0.041284562,1.927989039,22.776,0.487708779,8.913,0.190856531,0.074688455,3.487950869
41,8/15/2022,9:41,Smooth Dog,F,35.5,38.6,44.2,13.6,14,10.4,1.824,0.041266968,8.978,0.203122172,14.352,55.17,34.761,0.786447964,5.045,10.169,7.607,0.172104072,0.037662774,1.6646946,20.098,0.454705882,7.984,0.180633484,0.071757276,3.171671609
42,8/15/2022,9:46,Smooth Dog,M,46.5,51,59.2,17,18.3,14.1,2.193,0.037043919,9.196,0.155337838,23.05,20.403,21.7265,0.367001689,6.824,6.8802,6.8521,0.115744932,0.036503618,2.161014172,42.497,0.71785473,11.679,0.197280405,0.054216482,3.209615761
43,8/15/2022,11:30,Smooth Dog,F,46,49.8,57.7,16,18.4,13.7,2.027,0.035129983,12.099,0.209688042,23.816,24.275,24.0455,0.416733102,5.778,7.026,6.402,0.110953206,0.029540763,1.704502048,28.667,0.496828423,9.256,0.160415945,0.051795095,2.98857697
44,7/27/2022,12:00,Mako,F,137,149,160,68,78,,,,,,,,,,,,,,,,,,,,,
45,8/2/2022,7:30,Smooth Dog,M,82,88,102,26,27,25,,,,,,,,,,,,,,,,,,,,
46,8/3/2022,10:15,Blue,M,180,196,240,72,70,66,,,,,,,,,,,,,,,,,,,,
47,8/5/2022,11:10,Mako,F,126,138,155,62,67,63,,,,,,,,,,,,,,,,,,,,
48,8/19/2022,11:02,Mako,F,74,79.9,85,37,41,35,8.502,0.100023529,21.262,0.250141177,70.705,70.705,70.705,0.831823529,12.342,12.342,12.342,0.1452,0.025345568,2.154373298,102.272,1.2032,19.932,0.234494118,0.04570104,3.884588392
49,8/19/2022,13:13,Mako,F,123,132.5,146,61,66,60,9.484,0.064958904,31.103,0.213034247,164.206,164.206,164.206,1.12469863,20.233,20.233,20.233,0.138582192,0.017075707,2.493053171,286.281,1.960828767,33.978,0.232726027,0.02762169,4.032766701
50,8/24/2022,11:10,Mako,F,77,86,90,41,44,39,9.619,0.106877778,26.838,0.2982,115.136,115.136,115.136,1.279288889,13.3,13.3,13.3,0.147777778,0.017070633,1.536357004,227.101,2.523344444,24.882,0.276466667,0.030290679,2.726161153
51,8/24/2022,11:30,Mako,F,80,89,94,40,42.4,40,11.278,0.119978723,25.726,0.273680851,92.343,92.343,92.343,0.98237234,14.311,14.311,14.311,0.152244681,0.023594356,2.217869476,221.723,2.358755319,27.291,0.290329787,0.035735536,3.359140373
52,8/24/2022,12:20,Mako,F,94,104,116,44,50.5,48,,,,,126.83,126.83,126.83,1.093362069,14.937,14.937,14.937,0.128767241,0.015165152,1.759157684,250,2.155172414,30.357,0.261698276,0.031777498,3.686189796
53,8/24/2022,12:55,Mako,F,115,128,144,58,56,57,13.323,0.092520833,38.765,0.269201389,162,162,162,1.125,20,20,20,0.138888889,0.017146776,2.469135802,339.936,2.360666667,28.71,0.199375,0.016838629,2.424762602
54,10/7/2022,9:04,Smooth Dog,M,24,24.5,28,7,7,6,2,0.071428571,9,0.321428571,39.876,39.876,39.876,1.424142857,7.738,7.738,7.738,0.276357143,0.053627535,1.50157097,48.873,1.745464286,12.87,0.459642857,0.12104032,3.389128967
55,10/7/2022,9:10,Smooth Dog,M,20,22.3,25.3,7,7,6,2,0.079051383,8.71,0.344268775,34.353,34.353,34.353,1.357826087,7.597,7.597,7.597,0.30027668,0.066404737,1.680039851,19.117,0.755612648,8.193,0.323833992,0.138785997,3.511285714
56,10/7/2022,9:16,Smooth Dog,M,17.7,19.3,22,6.5,6.5,5,,,,,,,,,,,,,,,,,,,,
